Area,Utility Group,Utility,Indicator Category,Indicator Sub Category,Indicator Code,Derived,Indicator Name,Unit,Footnote (2022-2023),2022-2023,2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Revenue,F4,Report,Percentage of residential revenue from usage charges: water supply,%,,72,72.1,76,75,76,74.9,73.4,75.9,75.2,78.8,78.5,69.4,61.6,64.4,63.7,51.6,69.9,72,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Revenue,F5,Derived,Revenue per property: water supply,$/property,,703,648.44,776.9,909.91,1008.41,899.82,853.99,894.36,803.07,868.12,794.03,575.57,493.37,562.79,502.11,519.21,597.16,633.53,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Revenue,F6,Derived,Revenue per property: wastewater,$/property,,1072,1089.67,1189.78,1193.91,1211.01,1102.25,1158.47,1181.9,1068.76,1167.08,1044.58,897.52,893.98,984.19,832.97,835.13,746.83,759.61,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Revenue,F7,Derived,Total income per property,$/property,,1615,1581.66,1808.8,1948.19,2100.85,2043.03,1929.66,1966.19,1713.61,1953.89,1765.37,1395.55,1322.82,1476.28,1275.55,1294.37,1291.07,1337.1,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Revenue from community service obligations (CSOs),F8,Derived,Community service obligations ratio,ratio,,0.0184,0.0088,No data,0.008,0.0071,0.0074,0.0077,0,0.009,0.0086,0.01,0.0123,0.0131,0.0126,0.0147,0.0147,0.0172,0.0171,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Costs,F9,Report,Written-down replacement cost of fixed water supply assets,$ 000s,,No data,279178.564,279461.817,274416.418,270372.916,264353.062,263811.496,257947.473,254596.326,258672.09,260213.724,260103.446,264373.955,261778.289,265500.188,263490.058,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Costs,F10,Report,Written-down replacement cost of fixed wastewater assets,$ 000s,,No data,235279.514,236776.819,224326.93,225901.687,237208.664,234975.786,231927.217,225423.881,221045.239,213532.878,212456.273,211994.685,224243.367,223861.582,207684.386,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Costs,F11,Derived,Operating cost per property: water supply,$/property,,394,291.96,337.59,408.95,378.73,344.58,321.41,334.36,340.66,382.77,421.43,385.03,376.41,372.88,382.53,394.89,344.69,350.23,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Costs,F12,Derived,Operating cost per property: wastewater,$/property,,580,554.54,482.22,555.49,500.75,465.71,462.76,482.68,483.32,536.63,561.48,583.45,556.55,535.06,360.59,466.56,498.89,466.97,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Costs,F13,Report,Combined operating cost per property: water supply and wastewater,$/property,,974,841.07,819.38,963.3,878.85,808.95,783.96,817.61,823.98,919.41,982.9,968.48,932.97,906.56,743.13,829.27,845.09,818.76,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Capital Expenditure,F14,Report,Capital expenditure: water supply,$ 000s,,3121,3436.62,4328.305,5003.95,6810.204,3662.469,7806.168,3308.03,2792.91,3040.92,4376.169,3211.608,2872.841,0,5832.27,5597.24,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Capital Expenditure,F15,Report,Capital expenditure: wastewater,$ 000s,,631,1148.394,3273.057,3651.01,4899.295,2616.384,3154.67,6922.965,2286.226,4145.458,3056.637,0,2976.355,0,6966.953,6144.24,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Capital Expenditure,F16,Derived,Total capital expenditure: water supply and wastewater,$ 000s,,3752,4585,7601,8655,11709,6279,10961,10231,5079,7186,7433,3212,5849,0,12799,11741,7056,7072,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Capital Expenditure,F28,Derived,Capital expenditure per property: water supply,$/property,,112,132.54,166.64,195.39,269.37,147.68,297.12,130.42,108.22,128.84,187.59,140.61,126.37,0,262.65,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Capital Expenditure,F29,Derived,Capital expenditure per property: wastewater,$/property,,43,49.9302,144.2214,159.0359,204.9047,104.6554,127.7039,284.6029,95.9256,188.8848,141.3325,0,141.155,0,337.8944,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Economic real rate of return,F17,Report,Economic real rate of return: water supply,ratio,,No data,0.7,1.38,2.1,3.2,2.8,2.64,2.8,1.9,1.7,0.7,-1.1,-1.7,-1,-1.59,-1.6,-0.3,-0.2,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Economic real rate of return,F18,Report,Economic real rate of return: wastewater,ratio,,No data,2.9,4.45,4.1,5.1,4.6,5.16,5.2,4.1,4.2,2.6,0.9,1.1,2.1,2.13,1.3,0.1,0.8,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Economic real rate of return,F19,Report,Economic real rate of return: water supply and wastewater,ratio,,No data,1.7,2.79,3,4.1,3.7,3.83,3.9,2.9,2.9,1.5,-0.2,-0.4,0.4,0.11,-0.4,-0.1,0.3,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Dividends,F20,Report,Dividends,$ 000s,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Dividends,F21,Derived,Dividend payout ratio,ratio,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Net debt to equity,F22,Report,Net debt to equity ratio,ratio,,-21.4,-21.6,-21.9,-19.5,-17.9,-15.1,-11.9,-9,-6,-2.4,1.1,2.9,2.8,3.6,4.5,2.8,1.9,1.6,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Interest cover,F23,Report,Interest cover ratio,ratio,,>1,>1,No data,>1,>1,>1,>1,101,>100,54,12.68,0,0,3.5,0.3,0,30.5,0.9,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Dividends,F24,Report,Net profit after tax (NPAT),$ 000s,,9956,8535.362,15750.468,16292.09,21546.076,19893.176,19932.265,18773.403,12144.424,13364.537,6541.126,-2084.129,-2950.812,1397.267,-1448.139,-3232.271,-6369.193,-488.765,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Net profit after tax,F30,Derived,Net profit after tax ratio,ratio,,0.2311,0.2081,0,0.3,0.4,0.3916,0.3932,0,0.2758,0.29,0.1593,-0.0652,-0.0979,0.0419,-0.0511,-0.1138,-0.2183,-0.0162,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Community service obligations (CSOs),F25,Report,Community service obligations ($),$ 000s,,791,359.609,390.129,385.094,377.577,376.778,388.818,395.459,397.23,395.282,408.579,394.224,393.89,420.012,416.996,418.294,500.404,516.783,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Capital works grants,F26,Report,Capital works grants: water supply,$ 000s,,1207,834.807,780.257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Capital works grants,F27,Report,Capital works grants: wastewater,$ 000s,,2178,1444.857,1293.349,896.281,1869.468,1142.035,546.253,0,0,0,0,0,0,0,0,0,0,0,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Costs,IF11,Report,Operating cost: water supply,$ 000s,,10508,7569.983,8767.276,10436.162,9564.906,8545.372,8444.258,8480.541,8757.513,9017.685,9803.337,8817.467,8582.226,8426.575,8494.52,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Costs,IF12,Report,Operating cost: wastewater,$ 000s,,13528,12754.345,10943.725,12789.893,11973.112,11765.537,11473.695,11741.262,11575.02,11785.91,12152.027,12427.241,11742.754,11236.357,7435.009,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Public Health,Water quality compliance,H1,Report,Water quality guidelines,provided as text,,Drinking Water Management System addressing the 12 elements of a Management System as recommended by Australian Drinking Water Guidelines 2015.,Drinking Water Management System addressing the 12 elements of a Management System as recommended by Australian Drinking Water Guidelines 2,Drinking Water Management System addressing the 12 elements of a Management System as recommended by Australian Drinking Water Guidelines 2015.,Australian Drinking Water Guidelines in accordance with the NSW Public Health Act and Regulation (Drinking Water Management System including HACCP Plan addressing the 12 elements of a Management System as recommended by Australian Drinking Water Guideline,Australian Drinking Water Guidelines in accordance with the NSW Public Health Act and Regulation( Drinking Water Management System including HACCP Plan addressing the 12 elements of a Management System as recommended by Australian Drinking Water Guidelines 2015. ),Australian Drinking Water Guidelines in accordance with the NSW Public Health Act and Regulation( Drinking Water Management System including HACCP Plan addressing the 12 elements of a Management System as recommended by Australian Drinking Water Guidelines 2015. ),ADWG 2011,ADWG 2011,ADWG 2011,ADWG 2011,ADWG 2011,ADWG 2004,ADWG 2004,ADWG 2004,ADWG 2004,ADWG 2004,ADWG 2004,ADWG 2004,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Public Health,Water quality compliance,H3,Report,Percentage of population where microbiological compliance was achieved,%,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,75,100,100,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Public Health,Water quality compliance,H4,Report,Number of zones where chemical compliance was achieved,zones,,1,1,1,1,1,1,1 of 1,1 of 1,1 of 1,1 of 1,1 of 1,1 of 1,1 of 1,0 of 1,4 of 4,4 of 4,2 of 2,2 of 2,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Public Health,Water quality compliance,H4a,Report,Total number of zones,zones,,1,1,1,1,1,1,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Public Health,Water quality compliance,H5,Report,Risk-based drinking water management plan externally assessed,yes/no,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P1,Report,Tariff structure: water supply,provided as text,,Inclining Block,Inclining Block,Inclining Block,Inclining Block,Inclining Block,Inclining Block,Inclining Block,Inclining Block,Inclining Block,Inclining Block,Inclining Block,Inclining Block,Inclining Block,Inclining Block,Inclining Block,n/a,n/a,n/a,n/a,n/a,n/a
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P1.2,Report,Fixed charge: water supply,$,,140.2,148.98,155.6,158.13,160.24,161.13,164.23,154.67,138.35,117.58,115.64,118.27,120.99,120.6,123.4,127.24,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P1.3,Report,Usage charge: step 1,$/kL,,1.42,1.51,1.58,1.6,1.62,1.63,1.66,1.58,1.45,1.34,1.18,1.01,0.86,0.75,0.74,0.73,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P1.4,Report,Usage charge: step 2,$/kL,,2.36,2.52,2.63,2.67,2.71,2.74,2.74,2.75,2.66,2.58,2.4,2.06,1.75,1.51,1.48,1.46,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P1.5,Report,Usage charge: step 3,$/kL,,1.91,2.03,2.12,2.16,2.19,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P1.6,Report,Usage charge: step 4,$/kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P1.7,Report,Usage charge: step 5,$/kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P1.12,Report,Special levies: water supply,$,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,0,0,0,0,0,0,0,0,0,0,,,,,
